Race results:

2022-01-24 23:29:29 race results:
        Driver Symbol  Time
1        Ogier      O  3.46
2   Greensmith      G  3.72
3        Tänak      T  3.72
4        Sordo      S  3.72
5         Loeb      L  3.72
6        Evans      E  3.72
7     Neuville      N  3.99
8        Breen      B  4.26
9    Rovanpara      R  4.52
10       Meeke      M  4.78

2022-01-24 23:29:46 race results:
        Driver Symbol  Time
1     Neuville      N  3.47
2   Greensmith      G  3.75
3        Ogier      O  3.75
4    Rovanpara      R  3.75
5        Evans      E  3.75
6        Sordo      S  4.03
7        Tänak      T  4.03
8        Breen      B  4.03
9        Meeke      M  4.29
10        Loeb      L  4.29

2022-02-01 17:31:20 race results:
        Driver Symbol  Time
1   Greensmith      G  2.26
2        Tänak      T  2.54
3     Neuville      N  2.54
4         Loeb      L  2.54
5        Meeke      M  2.54
6        Sordo      S  2.82
7        Ogier      O  2.82
8        Evans      E  2.82
9        Breen      B  2.82
10   Rovanpara      R  2.82

2022-02-01 17:31:29 race results:
        Driver Symbol  Time
1        Sordo      S  0.85
2     Neuville      N  1.13
3   Greensmith      G  1.13
4    Rovanpara      R  1.13
5        Tänak      T  1.13
6        Breen      B  1.41
7         Loeb      L  1.41
8        Ogier      O  1.41
9        Evans      E  1.41
10       Meeke      M  1.41

2022-02-01 17:31:36 race results:
        Driver Symbol  Time
1     Neuville      N  3.12
2         Loeb      L  3.40
3        Meeke      M  3.40
4        Sordo      S  3.40
5        Tänak      T  3.41
6        Ogier      O  3.68
7    Rovanpara      R  3.68
8        Breen      B  3.68
9        Evans      E  3.97
10  Greensmith      G  4.24

2022-02-01 18:14:05 race results:
        Driver Symbol  Time
1        Meeke      M  0.85
2        Evans      E  1.13
3        Ogier      O  1.13
4         Loeb      L  1.13
5     Neuville      N  1.13
6        Breen      B  1.13
7        Tänak      T  1.13
8        Sordo      S  1.13
9    Rovanpara      R  1.41
10  Greensmith      G  1.69

2022-02-01 18:14:12 race results:
        Driver Symbol  Time
1        Ogier      O  1.12
2        Sordo      S  1.40
3        Meeke      M  1.40
4   Greensmith      G  1.40
5         Loeb      L  1.40
6        Tänak      T  1.40
7        Breen      B  1.40
8        Evans      E  1.68
9     Neuville      N  1.68
10   Rovanpara      R  2.24

2022-02-01 18:14:19 race results:
        Driver Symbol  Time
1        Tänak      T  2.51
2     Neuville      N  2.79
3    Rovanpara      R  2.79
4        Evans      E  2.79
5        Meeke      M  2.79
6   Greensmith      G  2.79
7        Ogier      O  3.07
8         Loeb      L  3.07
9        Breen      B  3.07
10       Sordo      S  3.62

2022-02-01 18:14:55 race results:
